date,ward_id,ward_name,temp_mean_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,solar_radiation_kwh_m2,heat_index_c,wbgt_c,utci_c,lst_day_c,lst_night_c,temperature_anomaly_c,is_heatwave_day,heatwave_duration_days,temp_lag_1d,temp_lag_3d,temp_lag_7d,humidity_lag_1d,humidity_lag_3d,humidity_lag_7d,population,population_density_km2,elderly_percent,outdoor_worker_percent,built_up_density_percent,healthcare_facilities,healthcare_access_score
2000-01-01,0,Mumbai Citywide,23.31,32.23,16.1,52.92,2.06,4.8254,23.31,,,,,0.1903763440860189,0,,,,,,,,,,,,,,
2000-01-02,0,Mumbai Citywide,23.13,32.05,16.43,49.59,2.49,4.8842,23.13,,,,,0.010376344086019174,0,,23.31,,,52.92,,,,,,,,,
2000-01-03,0,Mumbai Citywide,22.47,32.2,15.27,47.21,2.33,4.89,22.47,,,,,-0.649623655913981,0,,23.13,,,49.59,,,,,,,,,
2000-01-04,0,Mumbai Citywide,22.52,32.46,15.23,46.71,2.29,4.8806,22.52,,,,,-0.5996236559139803,0,,22.47,23.31,,47.21,52.92,,,,,,,,
2000-01-05,0,Mumbai Citywide,22.14,31.99,15.53,45.44,2.09,4.9529,22.14,,,,,-0.9796236559139793,0,,22.52,23.13,,46.71,49.59,,,,,,,,
2000-01-06,0,Mumbai Citywide,22.15,32.45,14.78,40.14,2.67,5.0182,22.15,,,,,-0.9696236559139813,0,,22.14,22.47,,45.44,47.21,,,,,,,,
2000-01-07,0,Mumbai Citywide,22.1,32.24,14.37,37.77,2.98,5.0196,22.1,,,,,-1.0196236559139784,0,,22.15,22.52,,40.14,46.71,,,,,,,,
2000-01-08,0,Mumbai Citywide,22.24,33.21,14.15,39.46,2.37,5.0525,22.24,,,,,-0.8796236559139814,0,,22.1,22.14,23.31,37.77,45.44,52.92,,,,,,,
2000-01-09,0,Mumbai Citywide,23.18,34.1,14.85,42.59,2.23,4.9157,23.18,,,,,0.060376344086019884,0,,22.24,22.15,23.13,39.46,40.14,49.59,,,,,,,
2000-01-10,0,Mumbai Citywide,23.5,33.75,15.75,46.32,1.69,4.8958,23.5,,,,,0.38037634408602017,0,,23.18,22.1,22.47,42.59,37.77,47.21,,,,,,,
2000-01-11,0,Mumbai Citywide,23.9,33.83,16.7,54.05,1.83,4.9601,23.9,,,,,0.7803763440860187,0,,23.5,22.24,22.52,46.32,39.46,46.71,,,,,,,
2000-01-12,0,Mumbai Citywide,22.95,30.66,18.28,70.13,2.12,5.0506,22.95,,,,,-0.16962365591398054,0,,23.9,23.18,22.14,54.05,42.59,45.44,,,,,,,
2000-01-13,0,Mumbai Citywide,22.23,30.93,15.58,68.03,2.24,5.1281,22.23,,,,,-0.8896236559139794,0,,22.95,23.5,22.15,70.13,46.32,40.14,,,,,,,
2000-01-14,0,Mumbai Citywide,21.6,30.47,15.32,54.46,2.2,5.0078,21.6,,,,,-1.5196236559139784,0,,22.23,23.9,22.1,68.03,54.05,37.77,,,,,,,
2000-01-15,0,Mumbai Citywide,20.15,29.09,13.87,41.13,2.23,5.1197,20.15,,,,,-2.9696236559139813,0,,21.6,22.95,22.24,54.46,70.13,39.46,,,,,,,
2000-01-16,0,Mumbai Citywide,20.75,30.64,12.3,45.05,1.82,5.1014,20.75,,,,,-2.36962365591398,0,,20.15,22.23,23.18,41.13,68.03,42.59,,,,,,,
2000-01-17,0,Mumbai Citywide,25.19,35.55,17.77,55.28,2.04,4.943,25.19,,,,,2.0703763440860214,0,,20.75,21.6,23.5,45.05,54.46,46.32,,,,,,,
2000-01-18,0,Mumbai Citywide,26.42,36.23,20.24,49.61,2.5,5.3892,26.42,,,,,3.300376344086022,0,,25.19,20.15,23.9,55.28,41.13,54.05,,,,,,,
2000-01-19,0,Mumbai Citywide,26.36,35.52,20.37,47.78,2.4,5.2457,26.36,,,,,3.2403763440860196,0,,26.42,20.75,22.95,49.61,45.05,70.13,,,,,,,
2000-01-20,0,Mumbai Citywide,24.39,33.53,17.87,44.54,2.12,5.4082,24.39,,,,,1.2703763440860207,0,,26.36,25.19,22.23,47.78,55.28,68.03,,,,,,,
2000-01-21,0,Mumbai Citywide,22.92,30.77,17.23,55.58,1.69,5.0232,22.92,,,,,-0.19962365591397813,0,,24.39,26.42,21.6,44.54,49.61,54.46,,,,,,,
2000-01-22,0,Mumbai Citywide,22.3,30.82,15.83,60.83,2.2,5.171,22.3,,,,,-0.8196236559139791,0,,22.92,26.36,20.15,55.58,47.78,41.13,,,,,,,
2000-01-23,0,Mumbai Citywide,22.98,31.48,16.38,59.51,2.31,5.1413,22.98,,,,,-0.1396236559139794,0,,22.3,24.39,20.75,60.83,44.54,45.05,,,,,,,
2000-01-24,0,Mumbai Citywide,23.99,33.74,16.52,53.4,2.12,5.1667,23.99,,,,,0.8703763440860186,0,,22.98,22.92,25.19,59.51,55.58,55.28,,,,,,,
2000-01-25,0,Mumbai Citywide,24.27,35.22,16.14,43.75,2.0,5.1816,24.27,,,,,1.1503763440860197,0,,23.99,22.3,26.42,53.4,60.83,49.61,,,,,,,
2000-01-26,0,Mumbai Citywide,24.2,34.1,17.07,46.21,1.89,5.4569,24.2,,,,,1.0803763440860195,0,,24.27,22.98,26.36,43.75,59.51,47.78,,,,,,,
2000-01-27,0,Mumbai Citywide,24.25,34.42,16.32,44.05,2.08,5.43,24.25,,,,,1.1303763440860202,0,,24.2,23.99,24.39,46.21,53.4,44.54,,,,,,,
2000-01-28,0,Mumbai Citywide,25.44,35.59,17.41,38.19,2.33,5.167,25.44,,,,,2.3203763440860214,0,,24.25,24.27,22.92,44.05,43.75,55.58,,,,,,,
2000-01-29,0,Mumbai Citywide,25.4,35.26,17.79,36.36,2.82,5.3731,25.4,,,,,2.2803763440860187,0,,25.44,24.2,22.3,38.19,46.21,60.83,,,,,,,
2000-01-30,0,Mumbai Citywide,25.35,35.83,17.6,33.04,2.32,5.699,25.35,,,,,2.2303763440860216,0,,25.4,24.25,22.98,36.36,44.05,59.51,,,,,,,
2000-01-31,0,Mumbai Citywide,24.45,34.13,17.04,39.48,1.9,5.8543,24.45,,,,,1.3303763440860195,0,,25.35,25.44,23.99,33.04,38.19,53.4,,,,,,,
2000-02-01,0,Mumbai Citywide,22.66,30.28,17.06,72.5,1.72,5.671,22.66,,,,,-2.892197640117992,0,,24.45,25.4,24.27,39.48,36.36,43.75,,,,,,,
2000-02-02,0,Mumbai Citywide,22.9,30.09,18.6,72.16,1.6,4.8389,22.9,,,,,-2.6521976401179934,0,,22.66,25.35,24.2,72.5,33.04,46.21,,,,,,,
2000-02-03,0,Mumbai Citywide,22.94,30.11,18.12,68.46,2.06,5.527,22.94,,,,,-2.6121976401179907,0,,22.9,24.45,24.25,72.16,39.48,44.05,,,,,,,
2000-02-04,0,Mumbai Citywide,22.13,30.64,15.56,66.47,1.94,5.6549,22.13,,,,,-3.422197640117993,0,,22.94,22.66,25.44,68.46,72.5,38.19,,,,,,,
2000-02-05,0,Mumbai Citywide,22.23,28.55,18.19,73.23,2.29,4.9805,22.23,,,,,-3.3221976401179916,0,,22.13,22.9,25.4,66.47,72.16,36.36,,,,,,,
2000-02-06,0,Mumbai Citywide,21.68,28.99,15.28,70.49,1.75,5.0326,21.68,,,,,-3.8721976401179923,0,,22.23,22.94,25.35,73.23,68.46,33.04,,,,,,,
2000-02-07,0,Mumbai Citywide,22.74,31.5,16.3,57.1,1.81,5.1732,22.74,,,,,-2.8121976401179936,0,,21.68,22.13,24.45,70.49,66.47,39.48,,,,,,,
2000-02-08,0,Mumbai Citywide,21.8,30.17,14.78,44.68,2.16,5.6282,21.8,,,,,-3.7521976401179913,0,,22.74,22.23,22.66,57.1,73.23,72.5,,,,,,,
2000-02-09,0,Mumbai Citywide,22.95,33.52,14.24,39.57,2.18,5.5382,22.95,,,,,-2.6021976401179927,0,,21.8,21.68,22.9,44.68,70.49,72.16,,,,,,,
2000-02-10,0,Mumbai Citywide,22.7,31.64,15.85,53.35,2.09,5.533,22.7,,,,,-2.8521976401179927,0,,22.95,22.74,22.94,39.57,57.1,68.46,,,,,,,
2000-02-11,0,Mumbai Citywide,22.44,30.12,17.47,64.41,2.38,4.9414,22.44,,,,,-3.1121976401179907,0,,22.7,21.8,22.13,53.35,44.68,66.47,,,,,,,
2000-02-12,0,Mumbai Citywide,21.84,29.55,15.78,61.52,2.02,5.4984,21.84,,,,,-3.712197640117992,0,,22.44,22.95,22.23,64.41,39.57,73.23,,,,,,,
2000-02-13,0,Mumbai Citywide,21.94,31.91,13.42,34.0,2.28,5.6906,21.94,,,,,-3.6121976401179907,0,,21.84,22.7,21.68,61.52,53.35,70.49,,,,,,,
2000-02-14,0,Mumbai Citywide,24.78,34.77,16.43,35.55,2.6,5.7302,24.78,,,,,-0.7721976401179909,0,,21.94,22.44,22.74,34.0,64.41,57.1,,,,,,,
2000-02-15,0,Mumbai Citywide,27.33,36.88,20.2,45.57,2.41,5.532,27.442666681040876,,,,,1.7778023598820063,0,,24.78,21.84,21.8,35.55,61.52,44.68,,,,,,,
2000-02-16,0,Mumbai Citywide,26.88,35.48,20.67,35.52,2.48,5.8973,26.571265850012146,,,,,1.327802359882007,0,,27.33,21.94,22.95,45.57,34.0,39.57,,,,,,,
2000-02-17,0,Mumbai Citywide,24.15,33.42,16.99,29.1,2.79,6.0785,24.15,,,,,-1.4021976401179934,0,,26.88,24.78,22.7,35.52,35.55,53.35,,,,,,,
2000-02-18,0,Mumbai Citywide,23.64,34.49,14.87,27.36,2.37,5.9626,23.64,,,,,-1.9121976401179914,0,,24.15,27.33,22.44,29.1,45.57,64.41,,,,,,,
2000-02-19,0,Mumbai Citywide,23.0,32.63,15.3,41.77,1.97,6.0686,23.0,,,,,-2.552197640117992,0,,23.64,26.88,21.84,27.36,35.52,61.52,,,,,,,
2000-02-20,0,Mumbai Citywide,22.57,29.41,17.44,65.35,1.77,5.6974,22.57,,,,,-2.9821976401179917,0,,23.0,24.15,21.94,41.77,29.1,34.0,,,,,,,
2000-02-21,0,Mumbai Citywide,23.49,30.84,17.87,63.77,1.65,5.9393,23.49,,,,,-2.0621976401179936,0,,22.57,23.64,24.78,65.35,27.36,35.55,,,,,,,
2000-02-22,0,Mumbai Citywide,24.36,33.4,16.8,53.65,1.74,5.6693,24.36,,,,,-1.1921976401179926,0,,23.49,23.0,27.33,63.77,41.77,45.57,,,,,,,
2000-02-23,0,Mumbai Citywide,24.97,33.87,17.45,55.15,2.34,5.9587,24.97,,,,,-0.5821976401179931,0,,24.36,22.57,26.88,53.65,65.35,35.52,,,,,,,
2000-02-24,0,Mumbai Citywide,25.88,33.81,19.8,59.76,1.86,5.9083,25.88,,,,,0.327802359882007,0,,24.97,23.49,24.15,55.15,63.77,29.1,,,,,,,
2000-02-25,0,Mumbai Citywide,26.25,33.62,21.01,59.36,1.9,6.1543,26.25,,,,,0.697802359882008,0,,25.88,24.36,23.64,59.76,53.65,27.36,,,,,,,
2000-02-26,0,Mumbai Citywide,26.79,36.06,19.89,42.71,2.7,6.5837,26.842407021805442,,,,,1.2378023598820072,0,,26.25,24.97,23.0,59.36,55.15,41.77,,,,,,,
2000-02-27,0,Mumbai Citywide,27.38,37.56,18.91,35.88,2.34,6.3713,26.932308268001027,,,,,1.827802359882007,1,,26.79,25.88,22.57,42.71,59.76,65.35,,,,,,,
2000-02-28,0,Mumbai Citywide,28.82,38.95,21.13,32.41,2.54,6.4738,27.866908610656328,,,,,3.2678023598820083,1,,27.38,26.25,23.49,35.88,59.36,63.77,,,,,,,
2000-02-29,0,Mumbai Citywide,28.89,39.25,21.06,26.19,2.66,6.6727,27.59206695108893,,,,,3.3378023598820086,1,,28.82,26.79,24.36,32.41,42.71,53.65,,,,,,,
2000-03-01,0,Mumbai Citywide,28.61,39.2,20.05,24.24,2.26,6.5054,27.301972264208125,,,,,-0.11950268817204446,1,,28.89,27.38,24.97,26.19,35.88,55.15,,,,,,,
2000-03-02,0,Mumbai Citywide,27.83,36.96,21.05,30.47,2.27,6.605,26.994590668623783,,,,,-0.8995026881720456,0,,28.61,28.82,25.88,24.24,32.41,59.76,,,,,,,
2000-03-03,0,Mumbai Citywide,26.51,36.37,18.75,50.38,2.2,6.689,26.51,,,,,-2.2195026881720423,0,,27.83,28.89,26.25,30.47,26.19,59.36,,,,,,,
2000-03-04,0,Mumbai Citywide,25.71,35.07,18.29,56.94,2.15,6.9209,25.71,,,,,-3.019502688172043,0,,26.51,28.61,26.79,50.38,24.24,42.71,,,,,,,
2000-03-05,0,Mumbai Citywide,25.0,34.04,17.71,55.04,2.05,6.4282,25.0,,,,,-3.729502688172044,0,,25.71,27.83,27.38,56.94,30.47,35.88,,,,,,,
2000-03-06,0,Mumbai Citywide,24.02,32.35,17.76,50.17,2.09,6.0017,24.02,,,,,-4.709502688172044,0,,25.0,26.51,28.82,55.04,50.38,32.41,,,,,,,
2000-03-07,0,Mumbai Citywide,23.48,30.72,18.25,60.12,2.38,6.306,23.48,,,,,-5.2495026881720435,0,,24.02,25.71,28.89,50.17,56.94,26.19,,,,,,,
2000-03-08,0,Mumbai Citywide,24.39,34.19,15.89,42.41,2.32,6.3598,24.39,,,,,-4.339502688172043,0,,23.48,25.0,28.61,60.12,55.04,24.24,,,,,,,
2000-03-09,0,Mumbai Citywide,25.49,35.77,17.18,28.38,1.81,6.4272,25.49,,,,,-3.2395026881720455,0,,24.39,24.02,27.83,42.41,50.17,30.47,,,,,,,
2000-03-10,0,Mumbai Citywide,26.26,35.84,18.53,37.0,1.75,6.6662,26.26,,,,,-2.4695026881720423,0,,25.49,23.48,26.51,28.38,60.12,50.38,,,,,,,
2000-03-11,0,Mumbai Citywide,26.13,35.74,18.78,48.82,1.8,6.5554,26.13,,,,,-2.599502688172045,0,,26.26,24.39,25.71,37.0,42.41,56.94,,,,,,,
2000-03-12,0,Mumbai Citywide,25.95,34.91,19.49,62.56,2.06,6.5686,25.95,,,,,-2.7795026881720446,0,,26.13,25.49,25.0,48.82,28.38,55.04,,,,,,,
2000-03-13,0,Mumbai Citywide,25.5,32.1,21.01,65.58,2.34,6.3062,25.5,,,,,-3.229502688172044,0,,25.95,26.26,24.02,62.56,37.0,50.17,,,,,,,
2000-03-14,0,Mumbai Citywide,26.27,33.93,21.38,55.61,1.68,6.4214,26.27,,,,,-2.4595026881720443,0,,25.5,26.13,23.48,65.58,48.82,60.12,,,,,,,
2000-03-15,0,Mumbai Citywide,25.53,34.51,18.51,53.68,1.95,7.0848,25.53,,,,,-3.1995026881720428,0,,26.27,25.95,24.39,55.61,62.56,42.41,,,,,,,
2000-03-16,0,Mumbai Citywide,25.29,34.23,18.3,55.65,2.16,6.9838,25.29,,,,,-3.4395026881720447,0,,25.53,25.5,25.49,53.68,65.58,28.38,,,,,,,
2000-03-17,0,Mumbai Citywide,25.41,35.16,17.78,60.36,1.84,6.7397,25.41,,,,,-3.3195026881720437,0,,25.29,26.27,26.26,55.65,55.61,37.0,,,,,,,
